Number	labels	type	theta	radius	X	Y	Z	sph_theta	sph_phi	sph_radius	
1	Fp1		-17.9	0.515	80.8	26.1	 -4	17.9	-2.7	 85	
2	AF7		-35.9	0.522	68.7	49.7	-5.96	35.9	-4.02	 85	
3	AF3		-22.5	0.421	76.2	31.5	20.8	22.5	14.2	 85	
4	F1		-23.5	0.279	59.9	 26	54.4	23.5	39.8	 85	
5	F3		-39.9	0.345	57.6	48.2	39.9	39.9	 28	 85	
6	F5		-49.4	0.432	 54	63.1	18.1	49.4	12.3	 85	
7	F7		-53.9	0.528	49.9	68.4	-7.49	53.9	-5.06	 85	
8	FT7		-71.9	0.532	26.2	80.4	-8.51	71.9	-5.75	 85	
9	FC5		-69.3	0.408	28.8	76.2	24.2	69.3	16.5	 85	
10	FC3		-62.4	0.288	 31	59.3	52.5	62.4	38.1	 85	
11	FC1		-44.9	0.181	32.4	32.4	71.6	44.9	57.4	 85	
12	C1		-90	0.133	2.11e-15	34.5	77.7	 90	 66	 85	
13	C3		-90	0.267	3.87e-15	63.2	56.9	 90	 42	 85	
14	C5		-90	0.4	4.95e-15	80.8	26.3	 90	 18	 85	
15	T7		-90	0.533	5.18e-15	84.5	-8.85	 90	-5.97	 85	
16	TP7		-108	0.532	-26.2	80.4	-8.51	108	-5.75	 85	
17	CP5		-111	0.408	-28.8	76.2	24.2	111	16.5	 85	
18	CP3		-118	0.288	-31	59.3	52.5	118	38.1	 85	
19	CP1		-135	0.181	-32.4	32.4	71.6	135	57.4	 85	
20	P1		-157	0.279	-59.9	 26	54.4	157	39.8	 85	
21	P3		-140	0.345	-57.6	48.2	39.9	140	 28	 85	
22	P5		-131	0.432	-54	63.1	18.1	131	12.3	 85	
23	P7		-126	0.528	-49.9	68.4	-7.49	126	-5.06	 85	
24	P9		-127	0.66	-44.5	59.7	-41	127	-28.8	 85	
25	PO7		-144	0.522	-68.7	49.7	-5.96	144	-4.02	 85	
26	PO3		-158	0.421	-76.2	31.5	20.8	158	14.2	 85	
27	O1		-162	0.515	-80.8	26.1	 -4	162	-2.7	 85	
28	Iz		180	0.633	-77.6	-9.51e-15	-34.6	-180	-24	 85	
29	Oz		180	0.507	-85	-1.04e-14	-1.79	-180	-1.2	 85	
30	POz		180	0.38	-79	-9.68e-15	31.3	-180	21.6	 85	
31	Pz		180	0.253	-60.7	-7.44e-15	59.5	-180	44.4	 85	
32	CPz		180	0.127	-32.9	-4.03e-15	78.4	-180	67.2	 85	
33	Fpz		  0	0.507	 85	 -0	-1.79	 -0	-1.2	 85	
34	Fp2		17.9	0.515	80.8	-26.1	 -4	-17.9	-2.7	 85	
35	AF8		35.9	0.522	68.7	-49.7	-5.95	-35.9	-4.02	 85	
36	AF4		22.5	0.421	76.2	-31.5	20.8	-22.5	14.2	 85	
37	AFz		  0	0.38	 79	 -0	31.3	 -0	21.6	 85	
38	Fz		  0	0.253	60.7	 -0	59.5	 -0	44.4	 85	
39	F2		23.5	0.279	59.9	-26	54.4	-23.5	39.8	 85	
40	F4		39.9	0.344	57.6	-48.1	39.9	-39.9	 28	 85	
41	F6		49.4	0.431	 54	-63	18.2	-49.4	12.4	 85	
42	F8		53.9	0.528	49.9	-68.4	-7.49	-53.9	-5.05	 85	
43	FT8		71.9	0.532	26.2	-80.4	-8.51	-71.9	-5.75	 85	
44	FC6		69.3	0.408	28.8	-76.2	24.2	-69.3	16.5	 85	
45	FC4		62.4	0.288	 31	-59.3	52.5	-62.4	38.1	 85	
46	FC2		44.9	0.181	32.4	-32.4	71.6	-44.9	57.4	 85	
47	FCz		  0	0.127	32.9	 -0	78.4	 -0	67.2	 85	
48	Cz		  0	  0	5.2e-15	 -0	 85	 -0	 90	 85	
49	C2		 90	0.133	2.12e-15	-34.6	77.6	-90	 66	 85	
50	C4		 90	0.267	3.87e-15	-63.2	56.9	-90	 42	 85	
51	C6		 90	0.4	4.95e-15	-80.8	26.3	-90	 18	 85	
52	T8		 90	0.533	5.18e-15	-84.5	-8.85	-90	-5.97	 85	
53	TP8		108	0.532	-26.3	-80.4	-8.51	-108	-5.74	 85	
54	CP6		111	0.408	-28.8	-76.2	24.2	-111	16.5	 85	
55	CP4		118	0.288	-31	-59.3	52.5	-118	38.1	 85	
56	CP2		135	0.181	-32.4	-32.4	71.6	-135	57.4	 85	
57	P2		157	0.279	-59.9	-26	54.4	-157	39.8	 85	
58	P4		140	0.344	-57.6	-48.1	39.9	-140	 28	 85	
59	P6		131	0.431	-54	-63	18.2	-131	12.4	 85	
60	P8		126	0.528	-49.9	-68.4	-7.49	-126	-5.05	 85	
61	P10		127	0.66	-44.5	-59.7	-41	-127	-28.8	 85	
62	PO8		144	0.522	-68.7	-49.7	-5.95	-144	-4.02	 85	
63	PO4		158	0.421	-76.2	-31.5	20.8	-158	14.2	 85	
64	O2		162	0.515	-80.8	-26.1	 -4	-162	-2.7	 85	
65	Afp9		-26.3	0.648	68.1	33.7	-38.2	26.3	-26.7	 85	
66	Afp10		26.3	0.648	68.1	-33.7	-38.2	-26.3	-26.7	 85	
67	IO1		-27	0.694	 62	31.6	-48.8	 27	-35	 85	
68	IO2		 27	0.694	 62	-31.6	-48.8	-27	-35	 85	
69	M1		-100	0.747	-11	59.6	-59.6	100	-44.5	 85	
70	M2		100	0.747	-11	-59.6	-59.6	-100	-44.5	 85	
71	VEOG		   	   	   	   	   	   	   	   	
72	HEOG		   	   	   	   	   	   	   	   	
